target_id,ca_lddt.first.factor_native,ca_lddt.first.factor_rotated,ca_lddt.first.gplus_native,ca_lddt.first.gplus_rotated,ca_lddt.first.psi,ca_lddt.all.factor_native,ca_lddt.all.factor_rotated,ca_lddt.all.gplus_native,ca_lddt.all.gplus_rotated,ca_lddt.all.psi,ca_lddt.last.factor_native,ca_lddt.last.factor_rotated,ca_lddt.last.gplus_native,ca_lddt.last.gplus_rotated,ca_lddt.last.psi,ca_lddt.D_write_R1,ca_lddt.D_timing_R1,ca_lddt.D_last_R1,residue_ca_lddt.first.factor_native,residue_ca_lddt.first.factor_rotated,residue_ca_lddt.first.gplus_native,residue_ca_lddt.first.gplus_rotated,residue_ca_lddt.first.psi,residue_ca_lddt.all.factor_native,residue_ca_lddt.all.factor_rotated,residue_ca_lddt.all.gplus_native,residue_ca_lddt.all.gplus_rotated,residue_ca_lddt.all.psi,residue_ca_lddt.last.factor_native,residue_ca_lddt.last.factor_rotated,residue_ca_lddt.last.gplus_native,residue_ca_lddt.last.gplus_rotated,residue_ca_lddt.last.psi,residue_ca_lddt.D_write_R1,residue_ca_lddt.D_timing_R1,residue_ca_lddt.D_last_R1,tm_score_fixed_full_length.first.factor_native,tm_score_fixed_full_length.first.factor_rotated,tm_score_fixed_full_length.first.gplus_native,tm_score_fixed_full_length.first.gplus_rotated,tm_score_fixed_full_length.first.psi,tm_score_fixed_full_length.all.factor_native,tm_score_fixed_full_length.all.factor_rotated,tm_score_fixed_full_length.all.gplus_native,tm_score_fixed_full_length.all.gplus_rotated,tm_score_fixed_full_length.all.psi,tm_score_fixed_full_length.last.factor_native,tm_score_fixed_full_length.last.factor_rotated,tm_score_fixed_full_length.last.gplus_native,tm_score_fixed_full_length.last.gplus_rotated,tm_score_fixed_full_length.last.psi,tm_score_fixed_full_length.D_write_R1,tm_score_fixed_full_length.D_timing_R1,tm_score_fixed_full_length.D_last_R1
4dr9_A,0.29784970746903733,0.2931768102727756,0.29494339335916725,0.2953233037003267,0.005052807537421174,0.32482334169136085,0.30276954638705267,0.29469645163741354,0.29959729503837096,0.026954638705265543,0.30231365397766125,0.2912772585669782,0.3008699946812552,0.296596003343211,0.006762404072638857,0.02190183116784437,-0.0017095965352176834,0.020192234632626687,0.31118778192276236,0.3056383138207019,0.30692279145002743,0.30713538855482253,0.005762065206855553,0.33339189803728714,0.3109174041597344,0.3044708071441402,0.3100506924159548,0.02805437914936726,0.31213322025908313,0.30119416635764734,0.311578379270965,0.3071287776316533,0.0064894522621240696,0.022292313942511705,-0.0007273870552685172,0.02156492688724319,0.23170000000000002,0.23696666666666666,0.2394333333333333,0.24126666666666666,-0.0034333333333333347,0.3087333333333333,0.2729,0.2359,0.23656666666666668,0.0365,0.22929999999999998,0.22923333333333332,0.2346,0.22376666666666667,-0.010766666666666666,0.03993333333333333,0.007333333333333331,0.04726666666666666
1h5y_A,0.6941421329240501,0.561845960652993,0.4875238361006464,0.5306381098553555,0.17541044602576628,0.7736965722524535,0.7713710990186503,0.6404469559555369,0.6497255941584111,0.011604111436677389,0.7603832379889308,0.7512557555462537,0.786172736151807,0.7822310590205106,0.005185805311380835,-0.1638063345890889,0.17022464071438545,0.006418306125296554,0.6861176838947417,0.555800743280258,0.48771750493793986,0.5277590877528633,0.17035852342940738,0.7587241947405933,0.7574674726359533,0.6347402685645017,0.643778121041965,0.01029457458210307,0.7473524464609836,0.7392389170126744,0.7735437566739719,0.7701393102215884,0.004709082995925947,-0.16006394884730432,0.16564944043348145,0.005585491586177123,0.7809666666666667,0.6952999999999999,0.6152666666666667,0.6608666666666667,0.13126666666666667,0.8713666666666667,0.8705666666666666,0.7654333333333333,0.7641,-0.0005333333333332746,0.8757,0.8667333333333334,0.8862,0.8910333333333332,0.013799999999999923,-0.13179999999999994,0.11746666666666676,-0.014333333333333198
1g69_A,0.32576976719236134,0.28042860208132175,0.2744206630189894,0.277867181632872,0.04878768372492224,0.5940886171011693,0.760554125093874,0.3695687158030254,0.4422004076815793,-0.09383381611415081,0.5370400171655402,0.4655884561742303,0.5732753996352322,0.577338804849265,0.07551496620534277,-0.14262149983907305,-0.026727282480420538,-0.1693487823194936,0.34400909912324584,0.2985489790680435,0.2925984239728387,0.29635653276085866,0.04921822884322228,0.5959488543421644,0.7525144740036835,0.3836096431486094,0.4500870450674362,-0.09008821774269232,0.5392460778740221,0.47167651723185605,0.5721884918338357,0.5753036732427613,0.0706847420510917,-0.1393064465859146,-0.02146651320786941,-0.160772959793784,0.3135666666666667,0.21630000000000002,0.21553333333333335,0.21763333333333335,0.09936666666666667,0.6477333333333334,0.8449666666666668,0.3699666666666667,0.4320333333333333,-0.13516666666666668,0.6544,0.5621333333333334,0.6718666666666667,0.7104666666666667,0.1308666666666667,-0.23453333333333334,-0.03150000000000001,-0.2660333333333334
4zyx_A,0.3909646514701024,0.2900396432111001,0.27571853320118933,0.2850346878097126,0.11024116286752557,0.7218368021143046,0.7986785596299967,0.3849025437727122,0.422398414271556,-0.03934588701684836,0.6666831846712918,0.556078625702015,0.5286257020151965,0.5420548397753552,0.12403369672943514,-0.14958704988437393,-0.013792533861909559,-0.1633795837462835,0.4152290847556001,0.3115781871519303,0.2934936892123672,0.30288626382170736,0.11304347221300999,0.7254538961682323,0.8006443298482013,0.40427511701268104,0.44350938678298074,-0.03595616390966927,0.6725252494484663,0.5803441409211041,0.5513922980491707,0.5645298738756551,0.10531868435384655,-0.14899963612267927,0.007724787859163455,-0.1412748482635158,0.3597666666666666,0.22056666666666666,0.2175,0.2577,0.1794,0.7393666666666666,0.8321666666666667,0.42,0.4642666666666666,-0.048533333333333366,0.7606,0.5368,0.5857666666666667,0.5734666666666667,0.21149999999999994,-0.2279333333333334,-0.03209999999999996,-0.26003333333333334
1pxr_A,0.29762740623720085,0.29182025627523256,0.2913521736586507,0.2901819671171962,0.004636943420513721,0.3631004622315839,0.366084488912293,0.28637879585746884,0.2983295301620736,0.008966707623895601,0.3346644432742379,0.2962670411327599,0.3587121877011292,0.36457784799017023,0.04426306243051901,0.004329764203381881,-0.03962611901000529,-0.03529635480662341,0.3139216713504429,0.30895676220087387,0.3090548818263395,0.30796460923220675,0.0038746365554362763,0.3742375309507386,0.3770974471094926,0.3046867558083634,0.3137283420993254,0.006181670132207939,0.347350613274058,0.3114984460600156,0.36786335366298833,0.3744715004947781,0.04246031404583217,0.002307033576771663,-0.038585677490395896,-0.03627864391362423,0.24889999999999998,0.26086666666666664,0.2661666666666667,0.2619,-0.01623333333333334,0.32726666666666665,0.33990000000000004,0.2887,0.24823333333333333,-0.05309999999999999,0.3597666666666666,0.2705666666666667,0.3789666666666667,0.38199999999999995,0.09223333333333335,-0.03686666666666665,-0.1084666666666667,-0.14533333333333334
5xrb_A,0.2918744597380145,0.2989560476095485,0.2804873994281534,0.2778276481149013,-0.009741339184786238,0.5844304807500499,0.4125440521311257,0.3662477558348294,0.3882904448434072,0.19392911762750184,0.3596150009974068,0.3463661147682691,0.3735288250548574,0.3731132389121617,0.012833300086441901,0.2036704568122881,-0.02257463927122814,0.18109581754105997,0.31269676463891083,0.3209372739153256,0.3015997478423523,0.2999408871739863,-0.0098993699447808,0.5768133773784134,0.4205115238869868,0.3756218648217189,0.398865587948692,0.17954557661839976,0.371910579873522,0.361059930969031,0.38703492495311304,0.38504346261231776,0.008859186563695628,0.18944494656318056,-0.018758556508476427,0.17068639005470412,0.2571333333333333,0.2614,0.2919,0.28243333333333337,-0.01373333333333332,0.607,0.41163333333333335,0.3768666666666667,0.37543333333333334,0.19393333333333337,0.31626666666666664,0.33413333333333334,0.38556666666666667,0.37893333333333334,-0.024500000000000022,0.2076666666666667,0.010766666666666702,0.2184333333333334
4f1j_A,0.3667999751984126,0.3214905753968254,0.3302951388888889,0.3234747023809524,0.03848896329365078,0.48428199404761907,0.5209108382936508,0.36514136904761907,0.37070622519841273,-0.031063988095238082,0.5420696924603174,0.5661582341269841,0.5536179315476191,0.5534009176587301,-0.024305555555555542,-0.06955295138888885,0.06279451884920632,-0.006758432539682539,0.3619159159804992,0.3189687794957294,0.32750957768709305,0.32088111858235197,0.03631867738002881,0.48547326585080713,0.5193435645590742,0.362527214477019,0.3690256069103481,-0.027371906274938,0.5386651058605522,0.5585883612232264,0.5482289507512147,0.549231538164989,-0.018920667948899867,-0.06369058365496681,0.05523934532892868,-0.008451238326038132,0.4719333333333333,0.4015666666666667,0.43106666666666665,0.4084666666666667,0.04776666666666666,0.6116333333333334,0.6528333333333333,0.4532,0.4727333333333334,-0.021666666666666612,0.6723333333333333,0.6746,0.6624,0.6607,-0.003966666666666711,-0.06943333333333328,0.051733333333333374,-0.0176999999999999
1dua_A,0.336751550269391,0.27014079495781235,0.2656678865507777,0.26850157568364336,0.06944444444444442,0.4977254244180136,0.5341821693605774,0.2848937684253329,0.3779099318898038,0.056559418521907066,0.4585239402256785,0.44197926197011284,0.42532021957913996,0.5021729185727356,0.09339737724916132,-0.012885025922537355,-0.023952932804716904,-0.03683795872725426,0.3503098285951993,0.28983581179272605,0.28777592631101,0.28913199035444925,0.06183008084591254,0.4995365131814227,0.5350949640853022,0.303232461684751,0.38639967968445665,0.04760876709582614,0.4597203061087407,0.4393305215787821,0.42687557419032957,0.4929559329058814,0.08647014324551039,-0.014221313750086395,-0.024640062399597856,-0.03886137614968425,0.3451666666666667,0.28423333333333334,0.2668333333333333,0.2655666666666667,0.059666666666666666,0.5451,0.6,0.2880333333333333,0.40619999999999995,0.06326666666666668,0.5474,0.4538,0.5067666666666667,0.5743,0.16113333333333335,0.0036000000000000107,-0.10146666666666669,-0.09786666666666667
2ocg_A,0.5002400845097474,0.33937145875348124,0.41181695956976855,0.4105445116681072,0.15959617785460484,0.682896379525593,0.7139152981849611,0.4662321137040238,0.4963627196773264,-0.0008883126860654844,0.5666714683568616,0.6358398156150965,0.6059252857005667,0.6041246518774609,-0.07096898108134068,-0.16048449054067032,0.2305651589359455,0.0700806683952752,0.5110631871375529,0.3548919380707342,0.4194051764544648,0.4182468189830269,0.15501289159538092,0.6860961364719506,0.71148113869077,0.47346191798200027,0.5052650441529053,0.006418123952085593,0.5769880981320914,0.6396825247062337,0.6191968701885013,0.6165146198752892,-0.06537667688735445,-0.14859476764329532,0.22038956848273536,0.07179480083944005,0.5955666666666667,0.35636666666666666,0.4751666666666667,0.46963333333333335,0.2336666666666666,0.805,0.8223333333333334,0.5122,0.5597666666666666,0.030233333333333334,0.7168333333333333,0.7869333333333334,0.8144,0.8020666666666667,-0.08243333333333336,-0.20343333333333327,0.3161,0.11266666666666669
3voa_A,0.4920359190492463,0.350229714849831,0.3449234916657174,0.33624748452747083,0.13313019706116866,0.6160059991646732,0.5974104871473592,0.4490545620230095,0.4282283479515511,-0.0022307020541443476,0.47288985078027107,0.5207502752781258,0.5189182518889774,0.5264077153814026,-0.040370961005429605,-0.135360899115313,0.17350115806659824,0.038140258951285255,0.4866251725769517,0.3558605345278103,0.3503983264089546,0.34332327340830165,0.12368958504848848,0.6070822111611539,0.587874700320425,0.44852913852176607,0.42976928406754356,0.00044765638650632694,0.471042022369984,0.5175431558167133,0.5134946371341075,0.5197067479947793,-0.04028902258605745,-0.12324192866198215,0.16397860763454594,0.04073667897256378,0.5107333333333334,0.37866666666666665,0.36756666666666665,0.3612333333333333,0.12573333333333334,0.6824,0.6143000000000001,0.4987333333333333,0.44953333333333334,0.01890000000000001,0.5146333333333333,0.5528333333333334,0.5294,0.5427666666666667,-0.024833333333333357,-0.10683333333333332,0.15056666666666668,0.04373333333333337
1c91_A,0.46904153211338356,0.43634508432005736,0.42206001076426264,0.4262872264083244,0.036923663437387864,0.5152157337639038,0.5109885181198421,0.4015069967707212,0.45458826695371374,0.05730848582705413,0.5195887154646573,0.515484840330104,0.49984302116971663,0.4969949766774309,0.0012558306422676597,0.02038482238966627,0.0356678327951202,0.05605265518478647,0.4693319114330316,0.43576672861269006,0.422742324093869,0.4264310750777986,0.037253933804271,0.5091634215603015,0.5044580350364479,0.4030799853931011,0.4530888189222458,0.05471422005299823,0.5110326287527033,0.5074207921409372,0.4916434372286366,0.4896422836485555,0.0016106830316850636,0.017460286248727235,0.035643250772585934,0.05310353702131317,0.5882000000000001,0.5758,0.5641666666666666,0.5657666666666666,0.013999999999999976,0.6212333333333334,0.6033333333333334,0.5173,0.5941666666666667,0.09476666666666667,0.6666,0.6684333333333333,0.6378333333333334,0.635,-0.0046666666666666705,0.0807666666666667,0.018666666666666647,0.09943333333333333
3f99_A,0.47495625546806647,0.41295931758530185,0.39321959755030617,0.3892060367454069,0.05798337707786527,0.5139107611548557,0.4962817147856518,0.4429133858267716,0.45062335958005245,0.02533902012248468,0.4453193350831146,0.43896544181977254,0.4047681539807524,0.4415463692038495,0.043132108486439204,-0.03264435695538059,0.014851268591426067,-0.01779308836395453,0.49257418391447655,0.43686378469639875,0.4193123316316549,0.4146816559157109,0.051079723502133766,0.5274700232156335,0.5148489284268392,0.46195224672380747,0.4703881775036853,0.021057025568672245,0.4599118925245364,0.45276893087088615,0.4194761985746745,0.45115943992090896,0.03882620299988474,-0.030022697933461517,0.012253520502249019,-0.017769177431212497,0.5550333333333334,0.4995,0.4721666666666667,0.4657,0.0490666666666667,0.6142,0.5758333333333333,0.5141,0.5295666666666666,0.05383333333333338,0.5111,0.5246666666666667,0.4576,0.5225000000000001,0.05133333333333338,0.004766666666666679,-0.002266666666666676,0.0025000000000000022
3ah4_A,0.23720525187566988,0.2306962307967131,0.22157466952483032,0.23105350125044657,0.015987852804573054,0.27445069667738475,0.28107136477313327,0.2494529296177206,0.24454046087888534,-0.011533136834583771,0.2788607538406574,0.2828242229367631,0.27689576634512325,0.29154385494819585,0.010684619506966789,-0.027520989639156824,0.0053032332976062635,-0.02221775634155056,0.24124661331324018,0.23513197152307855,0.227273527378573,0.2366109862810636,0.015452100692652265,0.2794677073782608,0.2854917381205806,0.2540860014673958,0.24926769219816003,-0.010842340011555512,0.28252677022596867,0.28643499629193175,0.2805519770056449,0.2942649767707019,0.009804773699093902,-0.026294440704207778,0.005647326993558364,-0.020647113710649413,0.20283333333333334,0.18489999999999998,0.18316666666666667,0.18676666666666666,0.02153333333333334,0.19033333333333333,0.19369999999999998,0.18716666666666668,0.1818,-0.008733333333333324,0.21206666666666665,0.20550000000000002,0.18296666666666664,0.19646666666666668,0.020066666666666677,-0.030266666666666664,0.0014666666666666623,-0.028800000000000003
7bwv_A,0.4140640869388584,0.42800375787121675,0.40892240503757876,0.4095825716026813,-0.013279504367255742,0.49517570587040427,0.48355931342677233,0.4103950842981921,0.44393662400975015,0.04515793215518995,0.49108775137111516,0.5134826325411335,0.5122003859435303,0.5041641275644931,-0.030431139549055502,0.058437436522445686,0.017151635181799758,0.07558907170424545,0.40976734458428216,0.42535168018098174,0.4079436880183107,0.40896541747932097,-0.01456260613568929,0.48032865618712206,0.4673467109796105,0.4059131709477322,0.4390826033298764,0.04615137758965573,0.47903900769092217,0.49961832497599246,0.49741096035520876,0.4906402197154922,-0.02735005792478686,0.06071398372534501,0.01278745178909757,0.07350143551444259,0.38726666666666665,0.4272,0.41263333333333324,0.4163333333333333,-0.036233333333333305,0.4479,0.4411,0.40863333333333335,0.42440000000000005,0.022566666666666662,0.41763333333333336,0.4459666666666666,0.43376666666666663,0.4301,-0.03200000000000001,0.05879999999999996,-0.004233333333333293,0.05456666666666667
