target_id,length_bin,Psi1536,Psi3072,K
6k8a_A,256-319,0.07346371956083482,0.03418468723259216,-0.03927903232824267
6bio_A,256-319,0.014696521213278543,0.04429246634202236,0.029595945128743813
4xcq_A,256-319,0.03451601589899463,0.035538929155950374,0.0010229132569557426
3ca6_A,256-319,0.02277761841014852,-0.021877191304902115,-0.04465480971505063
2q6o_B,256-319,0.02094625925392937,0.0017548488191746604,-0.01919141043475471
4ch6_A,256-319,0.0018474864829469571,-0.000818506669660077,-0.0026659931526070344
4dia_A,256-319,0.052561775301137,-0.010131712259371805,-0.0626934875605088
5hip_A,256-319,0.004178714030015167,0.03686148974253064,0.03268277571251547
6mbg_A,256-319,0.10865871855102009,0.0015068918140318398,-0.10715182673698825
1ghs_A,256-319,0.03530570395553399,0.03756880362635581,0.002263099670821821
5jdh_A,256-319,0.09932059111216857,0.17362598144182728,0.07430539032965872
2y7n_A,256-319,0.04159461245377985,0.03272315716956996,-0.008871455284209887
4x0j_A,256-319,0.03735994589753432,0.26689331213101575,0.22953336623348142
5rah_A,320-384,0.05208569914452265,-0.004362555833144044,-0.05644825497766669
2apc_A,320-384,0.01464640877186514,-0.016745338102789147,-0.031391746874654285
3tw3_A,320-384,0.0045303703703703825,0.01198814814814813,0.007457777777777748
1ia5_A,320-384,0.01118965497615227,0.034081207526551256,0.022891552550398986
4zxo_A,320-384,0.029001757509358184,0.0606711631516479,0.03166940564228972
3eb8_A,320-384,-0.02968793151063242,-0.002117278836417164,0.027570652674215254
4bok_A,320-384,0.043383786263043164,0.021631693613117762,-0.021752092649925406
4elp_A,320-384,0.010657758689254745,0.004288289721360614,-0.006369468967894131
5d9n_A,320-384,-0.013268195038872863,0.026279265231191198,0.03954746027006406
1is9_A,320-384,0.006656390134529122,0.015487460554725151,0.008831070420196029
3gqv_A,320-384,0.07832173345045836,0.015541590648016758,-0.0627801428024416
4k5q_A,320-384,0.05270685705468319,0.033605740127479286,-0.019101116927203905
3vj8_A,320-384,0.04743345296844624,0.032158167588854,-0.015275285379592243
4eye_A,320-384,0.003343211002203497,-0.003989058582174576,-0.007332269584378073
5w3t_A,320-384,0.04503313795349195,0.018704746580852763,-0.02632839137263919
3w9w_A,320-384,0.16225470419679527,0.061555410731465116,-0.10069929346533013
3ipw_A,320-384,0.02976978301848956,0.03962285592053372,0.009853072902044156
4d5d_A,320-384,0.1555652280960923,0.18615683584819387,0.03059160775210153
6d36_A,320-384,0.03840083174418482,0.012384584720471485,-0.02601624702371334
4w5z_A,320-384,0.003729197258932973,-0.005580029368575625,-0.009309226627508597
2dul_A,320-384,0.04595043282343176,0.0630801073703955,0.017129674546963743
3iu0_A,320-384,0.018414284879303307,0.006069904728505456,-0.01234438015079785
6o1x_A,320-384,0.012821459333087253,0.0951458102620893,0.08232435092900206
7nmq_A,320-384,0.030627295684113858,-0.04831554178145091,-0.07894283746556477
2ola_A,320-384,-0.024341351660939328,5.291598187162627e-05,0.024394267642810954
