target_id,length_bin,psi,factor_rotation,gplus_rotation
3def_A,256-319,0.06344062792539779,0.011886116511845568,-0.051554511413552224
3olh_A,256-319,-0.026077020544845692,0.0008975171207047383,0.02697453766555043
3uzu_A,256-319,-0.014636499166885943,0.0023765675699377103,0.017013066736823654
4rw5_A,256-319,-0.010479277577422903,-0.012944358578052576,-0.002465081000629674
1g2n_A,256-319,0.06420500862575593,0.06932358907277862,0.005118580447022686
1mj9_A,256-319,-0.014158821743091417,-0.016364679286027597,-0.00220585754293618
1jqe_A,256-319,0.043366583148174445,0.0437329614396697,0.0003663782914952544
5jzo_A,256-319,0.036566125955566964,0.00152388738292956,-0.035042238572637406
6jv0_A,256-319,0.061221400458457684,0.04073497397748081,-0.02048642648097687
3gzj_A,256-319,0.003765035826605725,0.007039684855558799,0.0032746490289530744
6jmy_A,256-319,0.016281831493981866,0.02394728383156539,0.007665452337583522
6k8a_A,256-319,0.07346371956083482,0.03595048514119132,-0.03751323441964351
6bio_A,256-319,0.014696521213278543,0.0017425761481905727,-0.01295394506508797
4xcq_A,256-319,0.03451601589899463,0.032405242511625465,-0.0021107733873691656
3ca6_A,256-319,0.02277761841014852,0.027518805380251136,0.004741186970102618
2q6o_B,256-319,0.02094625925392937,0.014426536192257854,-0.006519723061671516
4ch6_A,256-319,0.0018474864829469571,0.0011646180614020007,-0.0006828684215449564
4dia_A,256-319,0.052561775301137,0.033473347968028824,-0.019088427333108178
5hip_A,256-319,0.004178714030015167,0.019265455046124202,0.015086741016109037
6mbg_A,256-319,0.10865871855102009,0.04749663904031674,-0.06116207951070334
1ghs_A,256-319,0.03530570395553399,0.03753844908531651,0.002232745129782517
5jdh_A,256-319,0.09932059111216857,0.10401961561847359,0.004699024506305025
2y7n_A,256-319,0.04159461245377985,0.03177415046325586,-0.009820461990523987
4x0j_A,256-319,0.03735994589753432,0.06327795141744803,0.025918005519913714
5rah_A,320-384,0.05208569914452265,0.04285588109117519,-0.009229818053347457
2apc_A,320-384,0.01464640877186514,0.015549901046084273,0.0009034922742191346
3tw3_A,320-384,0.0045303703703703825,0.019555555555555534,0.015025185185185154
1ia5_A,320-384,0.01118965497615227,0.010298922013910226,-0.0008907329622420443
4zxo_A,320-384,0.029001757509358184,0.010470875559207535,-0.018530881950150648
3eb8_A,320-384,-0.02968793151063242,-0.012953538222800863,0.016734393287831557
4bok_A,320-384,0.043383786263043164,0.04293945648434806,-0.0004443297786951048
4elp_A,320-384,0.010657758689254745,0.014584824624194699,0.003927065934939954
5d9n_A,320-384,-0.013268195038872863,-0.004083584928613295,0.009184610110259568
1is9_A,320-384,0.006656390134529122,0.029843464540773926,0.023187074406244804
3gqv_A,320-384,0.07832173345045836,0.04936988985742279,-0.02895184359303556
4k5q_A,320-384,0.05270685705468319,0.041641443815356914,-0.01106541323932628
3vj8_A,320-384,0.04743345296844624,0.027528537959224362,-0.019904915009221882
4eye_A,320-384,0.003343211002203497,0.02868639667705091,0.025343185674847415
5w3t_A,320-384,0.04503313795349195,0.025128018490850373,-0.01990511946264158
3w9w_A,320-384,0.16225470419679527,0.16554169382118364,0.00328698962438838
3ipw_A,320-384,0.02976978301848956,0.012901241995213844,-0.016868541023275715
4d5d_A,320-384,0.1555652280960923,-0.02244908726390206,-0.17801431535999435
6d36_A,320-384,0.03840083174418482,0.012923279140674692,-0.02547755260351013
4w5z_A,320-384,0.003729197258932973,0.015026921194322104,0.01129772393538913
2dul_A,320-384,0.04595043282343176,0.05248320990049912,0.006532777077067366
